sequenceNo;name;title;menu;frame;bundle;active;uuid
20;PriceListVersions_UI-SC;Price list versions;;net.nan21.dnet.module.md.mm.price.frame.PriceListVersions_UI;nan21.dnet.module.md.ui.extjs;true;EEE7C900-0058-4C7D-B5BE-18B7055DB463
20;PriceListVersions_UI-SD;Price list versions;;net.nan21.dnet.module.md.mm.price.frame.PriceListVersions_UI;nan21.dnet.module.md.ui.extjs;true;21BFB813-522F-4F09-A88F-8530D043C098
10;PriceList_UI-SC;Price lists;;net.nan21.dnet.module.md.mm.price.frame.PriceList_UI;nan21.dnet.module.md.ui.extjs;true;D5A95581-4D09-47C8-9422-614FFCCDBC01
10;PriceList_UI-SD;Price lists;;net.nan21.dnet.module.md.mm.price.frame.PriceList_UI;nan21.dnet.module.md.ui.extjs;true;A4AC35C2-93BA-4A75-BF0A-F9B0C915E866
30;ProductAccountGroup_UI;Product account groups;;net.nan21.dnet.module.md.mm.prod.frame.ProductAccountGroup_UI;nan21.dnet.module.md.ui.extjs;true;914B0988-C408-4563-A696-FBD0DB0678EB
30;ProductAttribute_UI;Product atributes;;net.nan21.dnet.module.md.mm.prod.frame.ProductAttribute_UI;nan21.dnet.module.md.ui.extjs;true;0D40B46F-5EB3-4F4D-B374-E3485C4F941B
10;ProductBaseData_UI;Product base data;;net.nan21.dnet.module.md.mm.prod.frame.ProductBaseData_UI;nan21.dnet.module.md.ui.extjs;true;BC2D9696-B840-4BE9-9506-A6D71F7DA692
10;ProductCategory_UI;Product categories;;net.nan21.dnet.module.md.mm.prod.frame.ProductCategory_UI;nan21.dnet.module.md.ui.extjs;true;A41230E5-3416-458B-A5E3-AEC4A419A5A6
30;ProductPriceReport_UI-SC;Price report;;net.nan21.dnet.module.md.mm.price.frame.ProductPriceReport_UI;nan21.dnet.module.md.ui.extjs;true;8529CE9D-26D6-4633-8914-81EF2739F8FD
30;ProductPriceReport_UI-SD;Price report;;net.nan21.dnet.module.md.mm.price.frame.ProductPriceReport_UI;nan21.dnet.module.md.ui.extjs;true;24124BB6-1A23-46D1-BCC3-1B292A3A0700
20;Product_UI;Products;;net.nan21.dnet.module.md.mm.prod.frame.Product_UI;nan21.dnet.module.md.ui.extjs;true;8FD5A339-FEE0-4A96-B1A1-318929D6EDF8
10;ProjectBaseData_UI;Project base data;;net.nan21.dnet.module.pj.base.frame.ProjectBaseData_UI;nan21.dnet.module.pj.ui.extjs;true;DC503741-139C-4276-B832-810265F20E42
10;Projects_UI;Projects;;net.nan21.dnet.module.pj.md.frame.Projects_UI;nan21.dnet.module.pj.ui.extjs;true;EF1AA210-E949-4E01-9AF3-BD4254D1E4F0
20;ProjectVersions_UI;Project versions;;net.nan21.dnet.module.pj.md.frame.ProjectVersions_UI;nan21.dnet.module.pj.ui.extjs;true;E0DFA286-B5B7-44A7-BA1F-46C952440F28
10;PurchaseInvoiceBaseData_UI;Base data(Purchase invoice);;net.nan21.dnet.module.sc.invoice.frame.PurchaseInvoiceBaseData_UI;nan21.dnet.module.sc.ui.extjs;false;B7990429-2077-47D7-A1B7-51DE6A7E51D0
20;PurchaseInvoice_UI;Invoices;;net.nan21.dnet.module.sc.invoice.frame.PurchaseInvoice_UI;nan21.dnet.module.sc.ui.extjs;true;2321030E-D833-4933-BF1F-D0247523381C
10;PurchaseOrderBaseData_UI;Base data(Purchase orders);;net.nan21.dnet.module.sc.order.frame.PurchaseOrderBaseData_UI;nan21.dnet.module.sc.ui.extjs;false;DB1D8EAE-BD64-4254-802E-2F50B3F69A17
20;PurchaseOrder_UI;Orders;;net.nan21.dnet.module.sc.order.frame.PurchaseOrder_UI;nan21.dnet.module.sc.ui.extjs;true;1AFD7042-9B25-4544-B741-D4D1ACB0A8F5
30;PurchaseReception_UI;Goods reception;;net.nan21.dnet.module.sc.order.frame.PurchaseReception_UI;nan21.dnet.module.sc.ui.extjs;true;9DCCB2A7-9851-4395-9EAE-B9A354A3E656
10;RatingLevel_UI;Rating levels;;net.nan21.dnet.module.hr.skill.frame.RatingLevel_UI;nan21.dnet.module.hr.ui.extjs;true;6EB99647-58FC-4563-9CBA-5EB66899DF6A
20;RatingScale_UI;Rating scales;;net.nan21.dnet.module.hr.skill.frame.RatingScale_UI;nan21.dnet.module.hr.ui.extjs;true;3C24B694-5F39-4A03-98CE-720D6A2AFD6B
40;RegionMD_UI;Region with details;;net.nan21.dnet.module.bd.geo.frame.RegionMD_UI;nan21.dnet.module.bd.ui.extjs;true;71051557-54A7-43B2-95C1-D3A6432E1B4B
30;Regions_UI;Regions;;net.nan21.dnet.module.bd.geo.frame.Regions_UI;nan21.dnet.module.bd.ui.extjs;true;773DA4D5-E5DD-473F-AD8A-7F74ECB56DE5
10;ReportServers_UI;Report servers;;net.nan21.dnet.module.ad.report.frame.ReportServers_UI;nan21.dnet.module.ad.ui.extjs;true;EF8DEF01-84F3-4B8D-8E6E-92CA2E13873B
20;Reports_UI;Reports;;net.nan21.dnet.module.ad.report.frame.Reports_UI;nan21.dnet.module.ad.ui.extjs;true;08B5EB49-028C-42E2-9B24-51B725BA9E19
40;Role_UI;Roles;;net.nan21.dnet.module.ad.usr.frame.Role_UI;nan21.dnet.module.ad.ui.extjs;true;987A9C7E-F26F-4CBA-8447-B161DFDB4B9A
30;SalesDelivery_UI;Goods delivery;;net.nan21.dnet.module.sd.order.frame.SalesDelivery_UI;nan21.dnet.module.sd.ui.extjs;true;8F7AA849-89B6-44D9-A83D-979E06D4DEBA
10;SalesInvoiceBaseData_UI;Base data(Sales invoice);;net.nan21.dnet.module.sd.invoice.frame.SalesInvoiceBaseData_UI;nan21.dnet.module.sd.ui.extjs;false;129B2FE9-8D79-481F-891F-EA7B5AE3DB31
20;SalesInvoice_UI;Invoices;;net.nan21.dnet.module.sd.invoice.frame.SalesInvoice_UI;nan21.dnet.module.sd.ui.extjs;true;8CB56668-7FF9-40D6-BA08-D4875FB5B520
10;SalesOrderBaseData_UI;Base data(Sales orders);;net.nan21.dnet.module.sd.order.frame.SalesOrderBaseData_UI;nan21.dnet.module.sd.ui.extjs;false;4E916316-F647-4E61-B7B5-3C75F228CEE3
20;SalesOrder_UI;Orders;;net.nan21.dnet.module.sd.order.frame.SalesOrder_UI;nan21.dnet.module.sd.ui.extjs;true;5AB899A7-AF35-453A-BC33-FFD1EB6E83B5
30;sc-menu-invoice;Invoices;SC;;;true;2E0E63EF-A4C6-46FC-A8E4-0B5E078BD680
20;sc-menu-order;Orders;SC;;;true;A8E271C9-8F07-4DC4-AF2C-1C0A40AC2FD1
40;sc-menu-pay;Payments;SC;;;true;03B73FDF-95A9-4F5A-9C86-C1027829272E
10;sc-menu-price;Prices;SC;;;true;DA69368D-A599-46F4-9D7B-E1A80DD9E012
30;sd-menu-invoice;Invoices;SD;;;true;61E7A34F-D843-43B9-AEF4-F41DA761898F
15;sd-menu-opportunity;Opportunities;SD;;;true;EFC8F59A-170D-447E-818B-9A407EA113E9
20;sd-menu-order;Orders;SD;;;true;48E1B420-21C5-44FF-A6DE-427B4CEC23AE
40;sd-menu-pay;Payments;SD;;;true;0E7D54C8-CDB3-4645-B61F-C8D85ABE1C80
10;sd-menu-price;Prices;SD;;;true;2B99EE2A-7FBE-462D-A989-82485D49493E
30;SkillType_UI;Competence types;;net.nan21.dnet.module.hr.skill.frame.SkillType_UI;nan21.dnet.module.hr.ui.extjs;true;FA7FE7A7-4FBB-48B9-B479-CE8DFCA6B853
40;Skill_UI;Competences;;net.nan21.dnet.module.hr.skill.frame.Skill_UI;nan21.dnet.module.hr.ui.extjs;true;47544264-64E0-4D39-8986-E5A0B2C2A71D
10;StockLocatorTypes_UI;Locator types;;net.nan21.dnet.module.md.org.frame.StockLocatorTypes_UI;nan21.dnet.module.md.ui.extjs;true;0FBA2268-3972-4F74-9A8F-89713427C24A
20;SubInventories_UI;Sub-inventories;;net.nan21.dnet.module.md.org.frame.SubInventories_UI;nan21.dnet.module.md.ui.extjs;true;FDC7BBF5-924D-4D35-89E2-74112248D2F0
10;SysDataSources_UI;System components: Data-sources;;net.nan21.dnet.module.ad.system.frame.SysDataSources_UI;nan21.dnet.module.ad.ui.extjs;true;692FC251-C55C-4DB8-AE1B-14F0E15FAC81
30;SysDateFormat_UI;Date formats;;net.nan21.dnet.module.ad.system.frame.SysDateFormat_UI;nan21.dnet.module.ad.ui.extjs;true;C9DAF00E-DF94-4848-A4E6-A32AE88D623D
50;SysFrameExtension_UI;Frame extensions;;net.nan21.dnet.module.ad.system.frame.SysFrameExtension_UI;nan21.dnet.module.ad.ui.extjs;true;E250EB62-3957-415A-A3D8-775DF2C3A535
