"accSchema";"code";"name";"sign";"summary";"notes";"active"
"std";"6021";"Cheltuieli cu materialele auxiliare";"1";"false";;"true"
"std";"6022";"Cheltuieli privind combustibilul";"1";"false";;"true"
"std";"6023";"Cheltuieli privind materialele pentru ambalat";"1";"false";;"true"
"std";"6024";"Cheltuieli privind piesele de schimb";"1";"false";;"true"
"std";"6025";"Cheltuieli privind semintele si materialele de plantat";"1";"false";;"true"
"std";"6026";"Cheltuieli privind furajele";"1";"false";;"true"
"std";"6028";"Cheltuieli privind alte materiale consumabile";"1";"false";;"true"
"std";"603";"Cheltuieli privind materialele de natura obiectelor de inventar";"1";"false";;"true"
"std";"604";"Cheltuieli privind materialele nestocate";"1";"false";;"true"
"std";"605";"Cheltuieli privind energia si apa";"1";"false";;"true"
"std";"606";"Cheltuieli privind animalele si pasarile";"1";"false";;"true"
"std";"607";"Cheltuieli privind marfurile";"1";"false";;"true"
"std";"608";"Cheltuieli privind ambalajele";"1";"false";;"true"
"std";"61";"CHELTUIELI CU LUCRARILE SI SERVICIILE EXECUTATE DE TERTI";"1";"false";;"true"
"std";"611";"Cheltuieli cu intretinerea si reparatiile";"1";"false";;"true"
"std";"612";"Cheltuieli cu redeventele, locatiile de gestiune si chiriile";"1";"false";;"true"
"std";"613";"Cheltuieli cu primele de asigurare";"1";"false";;"true"
"std";"614";"Cheltuieli cu studiile si cercetarile";"1";"false";;"true"
"std";"62";"CHELTUIELI CU ALTE SERVICII EXECUTATE DE TERTI";"1";"false";;"true"
"std";"621";"Cheltuieli cu colaboratorii";"1";"false";;"true"
"std";"622";"Cheltuieli privind comisioanele si onorariile";"1";"false";;"true"
"std";"623";"Cheltuieli de protocol, reclama si publicitate";"1";"false";;"true"
"std";"624";"Cheltuieli cu transportul de bunuri si personal";"1";"false";;"true"
"std";"625";"Cheltuieli cu deplasari, detasari si transferari";"1";"false";;"true"
"std";"626";"Cheltuieli postale si taxe de telecomunicatii";"1";"false";;"true"
"std";"627";"Cheltuieli cu serviciile bancare si asimilate";"1";"false";;"true"
"std";"628";"Alte cheltuieli cu serviciile executate de terti";"1";"false";;"true"
"std";"63";"CHELTUIELI CU ALTE IMPOZITE, TAXE SI VARSAMINTE ASIMILATE";"1";"false";;"true"
"std";"7";"CONTURI DE VENITURI";"1";"false";;"true"
"std";"70";"CIFRA DE AFACERI";"1";"false";;"true"
"std";"701";"Venituri din vanzarea produselor finite";"1";"false";;"true"
"std";"702";"Venituri din vanzarea semifabricatelor";"1";"false";;"true"
"std";"703";"Venituri din vanzarea produselor reziduale";"1";"false";;"true"
"std";"704";"Venituri din lucrari executate si servicii prestate";"1";"false";;"true"
"std";"705";"Venituri din studii si cercetari";"1";"false";;"true"
"std";"706";"Venituri din redevente, locatii de gestiune si chirii";"1";"false";;"true"
"std";"707";"Venituri din vanzarea marfurilor";"1";"false";;"true"
"std";"708";"Venituri din activitati diverse";"1";"false";;"true"
"std";"71";"VARIATIA STOCURILOR";"1";"false";;"true"
