"sequenceNo";"name";"title";"menu";"frame";"bundle";"active";"description";"separatorBefore";"separatorAfter";"iconUrl"
"10";"bd-menu-uom";"Measuring units";;;;"true";;"false";"false";
"35";"bd-menu-acc";"Accounting";;;;"true";;"false";"false";
"100";"bd-menu-tx";"Transactions";;;;"true";;"false";"false";
"5";"TaxCategories_UI";"Taxe categories";;"net.nan21.dnet.module.bd.fin.frame.TaxCategories_UI";"nan21.dnet.module.bd.ui.extjs";"true";;"false";"false";
"10";"Tax_UI";"Taxes";;"net.nan21.dnet.module.bd.fin.frame.Tax_UI";"nan21.dnet.module.bd.ui.extjs";"true";;"false";"false";
"30";"TxBaseData_UI";"Transactions base data";;"net.nan21.dnet.module.bd.tx.frame.TxBaseData_UI";"nan21.dnet.module.bd.ui.extjs";"true";;"false";"false";
"40";"TxDocType_UI";"Transactional document types";;"net.nan21.dnet.module.bd.tx.frame.TxDocType_UI";"nan21.dnet.module.bd.ui.extjs";"true";;"false";"false";
"60";"bd-menu-fin";"Financials";;;;"true";;"false";"false";
"10";"AbsenceBaseData_UI";"Absence base data";;"net.nan21.dnet.module.hr.time.frame.AbsenceBaseData_UI";"nan21.dnet.module.hr.ui.extjs";"true";;"false";"false";
"10";"ProjectBaseData_UI";"Project base data";;"net.nan21.dnet.module.pj.base.frame.ProjectBaseData_UI";"nan21.dnet.module.pj.ui.extjs";"true";;"false";"false";
"10";"Users_UI";"Users";;"net.nan21.dnet.module.ad.usr.frame.Users_UI";"nan21.dnet.module.ad.ui.extjs";"true";;"false";"false";
"10";"Org_UI";"Organizations";;"net.nan21.dnet.module.bd.org.frame.Org_UI";"nan21.dnet.module.bd.ui.extjs";"true";;"false";"false";
"10";"AccSchema_UI";"Accounting schema";;"net.nan21.dnet.module.bd.acc.frame.AccSchema_UI";"nan21.dnet.module.bd.ui.extjs";"true";;"false";"false";
"10";"Account_UI";"Account chart";;"net.nan21.dnet.module.bd.acc.frame.Account_UI";"nan21.dnet.module.bd.ui.extjs";"true";;"false";"false";
"10";"Projects_UI";"Projects";;"net.nan21.dnet.module.pj.md.frame.Projects_UI";"nan21.dnet.module.pj.ui.extjs";"true";;"false";"false";
"10";"bd-menu";"Base data";"MD";;;"true";;"false";"false";
"10";"Issues_UI";"Incidents";;"net.nan21.dnet.module.pj.md.frame.Issues_UI";"nan21.dnet.module.pj.ui.extjs";"true";;"false";"false";
"10";"ImportMap_UI";"Import file-sets";;"net.nan21.dnet.module.ad.impex.frame.ImportMap_UI";"nan21.dnet.module.ad.ui.extjs";"true";;"false";"false";
"10";"PriceList_UI";"Price lists";;"net.nan21.dnet.module.md.mm.price.frame.PriceList_UI";"nan21.dnet.module.md.ui.extjs";"true";;"false";"false";
"12";"PriceListVersions_UI";"Price list versions";;"net.nan21.dnet.module.md.mm.price.frame.PriceListVersions_UI";"nan21.dnet.module.md.ui.extjs";"true";;"false";"false";
"10";"ad-menu-client";"Client";"AD";;;"true";;"false";"false";
"10";"UomType_UI";"Unit of measure types";;"net.nan21.dnet.module.bd.uom.frame.UomType_UI";"nan21.dnet.module.bd.ui.extjs";"true";;"false";"false";
"10";"mm-menu-base";"Base-data";;;;"true";;"false";"false";
"10";"hr-menu-skill";"Competence";"HR";;;"true";;"false";"false";
"10";"SalesOrderBaseData_UI";"Base data(Sales orders)";;"net.nan21.dnet.module.sd.order.frame.SalesOrderBaseData_UI";"nan21.dnet.module.sd.ui.extjs";"false";;"false";"false";
"10";"PurchaseInvoiceBaseData_UI";"Base data(Purchase invoice)";;"net.nan21.dnet.module.sc.invoice.frame.PurchaseInvoiceBaseData_UI";"nan21.dnet.module.sc.ui.extjs";"false";;"false";"false";
"10";"PurchaseOrderBaseData_UI";"Base data(Purchase orders)";;"net.nan21.dnet.module.sc.order.frame.PurchaseOrderBaseData_UI";"nan21.dnet.module.sc.ui.extjs";"false";;"false";"false";
"10";"SalesInvoiceBaseData_UI";"Base data(Sales invoice)";;"net.nan21.dnet.module.sd.invoice.frame.SalesInvoiceBaseData_UI";"nan21.dnet.module.sd.ui.extjs";"false";;"false";"false";
"10";"Countries_UI";"Countries";;"net.nan21.dnet.module.bd.geo.frame.Countries_UI";"nan21.dnet.module.bd.ui.extjs";"true";;"false";"false";
"70";"Locations_UI";"Addresses";;"net.nan21.dnet.module.bd.geo.frame.Locations_UI";"nan21.dnet.module.bd.ui.extjs";"true";;"false";"false";
"10";"SysDataSources_UI";"System components: Data-sources";;"net.nan21.dnet.module.ad.system.frame.SysDataSources_UI";"nan21.dnet.module.ad.ui.extjs";"true";;"false";"false";
"10";"WorkflowDef_UI";"Workflow definition";;"net.nan21.dnet.module.ad.workflow.frame.WorkflowDef_UI";"nan21.dnet.module.ad.ui.extjs";"true";;"false";"false";
"10";"CalendarEventTypeDef_UI";"Calendar event definitions";;"net.nan21.dnet.module.md.activity.frame.CalendarEventTypeDef_UI";"nan21.dnet.module.md.ui.extjs";"true";;"false";"false";
"10";"ProductBaseData_UI";"Product base data";;"net.nan21.dnet.module.md.mm.prod.frame.ProductBaseData_UI";"nan21.dnet.module.md.ui.extjs";"true";;"false";"false";
"20";"SalesInvoice_UI";"Invoices";;"net.nan21.dnet.module.sd.invoice.frame.SalesInvoice_UI";"nan21.dnet.module.sd.ui.extjs";"true";;"false";"false";
"20";"ImportMapItem_UI";"Import files";;"net.nan21.dnet.module.ad.impex.frame.ImportMapItem_UI";"nan21.dnet.module.ad.ui.extjs";"true";;"false";"false";
"20";"ad-menu-system";"System";"AD";;;"true";;"false";"false";
"20";"UserGroups_UI";"User groups";;"net.nan21.dnet.module.ad.usr.frame.UserGroups_UI";"nan21.dnet.module.ad.ui.extjs";"true";;"false";"false";
"20";"Course_UI";"Courses";;"net.nan21.dnet.module.hr.training.frame.Course_UI";"nan21.dnet.module.hr.ui.extjs";"true";;"false";"false";
"60";"InvTransactions_UI";"Transactions overview";;"net.nan21.dnet.module.md.tx.inventory.frame.InvTransactions_UI";"nan21.dnet.module.md.ui.extjs";"true";;"false";"false";
"80";"InvBalance_UI";"Stocks";;"net.nan21.dnet.module.md.tx.inventory.frame.InvBalance_UI";"nan21.dnet.module.md.ui.extjs";"true";;"false";"false";
"40";"InvTransfer_UI";"Goods transfer";;"net.nan21.dnet.module.md.tx.inventory.frame.InvTransfer_UI";"nan21.dnet.module.md.ui.extjs";"true";;"false";"false";
"20";"Job_UI";"Jobs";;"net.nan21.dnet.module.hr.job.frame.Job_UI";"nan21.dnet.module.hr.ui.extjs";"true";;"false";"false";
"20";"ProductPriceReport_UI";"Price report";;"net.nan21.dnet.module.md.mm.price.frame.ProductPriceReport_UI";"nan21.dnet.module.md.ui.extjs";"true";;"false";"false";
"20";"ProjectVersions_UI";"Project versions";;"net.nan21.dnet.module.pj.md.frame.ProjectVersions_UI";"nan21.dnet.module.pj.ui.extjs";"true";;"false";"false";
"20";"Absence_UI";"Absences";;"net.nan21.dnet.module.hr.time.frame.Absence_UI";"nan21.dnet.module.hr.ui.extjs";"true";;"false";"false";
"20";"IssueBaseData_UI";"Issue base data";;"net.nan21.dnet.module.pj.base.frame.IssueBaseData_UI";"nan21.dnet.module.pj.ui.extjs";"true";;"false";"false";
"20";"CurrencyXrateProvider_UI";"Currency exchange rate providers";;"net.nan21.dnet.module.bd.currency.frame.CurrencyXrateProvider_UI";"nan21.dnet.module.bd.ui.extjs";"true";;"false";"false";
"20";"Contact_UI";"Contacts";;"net.nan21.dnet.module.md.bp.frame.Contact_UI";"nan21.dnet.module.md.ui.extjs";"true";;"false";"false";
"20";"Bank_UI";"Banks";;"net.nan21.dnet.module.md.bp.frame.Bank_UI";"nan21.dnet.module.md.ui.extjs";"true";;"false";"false";
"20";"Opportunity_UI";"Opportunities";;"net.nan21.dnet.module.sd.opportunity.frame.Opportunity_UI";"nan21.dnet.module.sd.ui.extjs";"true";;"false";"false";
"20";"ElementBaseData_UI";"Element base data";;"net.nan21.dnet.module.hr.payroll.frame.ElementBaseData_UI";"nan21.dnet.module.hr.ui.extjs";"true";;"false";"false";
"30";"Element_UI";"Elements setup";;"net.nan21.dnet.module.hr.payroll.frame.Element_UI";"nan21.dnet.module.hr.ui.extjs";"true";;"false";"false";
"50";"Elements_UI";"Elements";;"net.nan21.dnet.module.hr.payroll.frame.Elements_UI";"nan21.dnet.module.hr.ui.extjs";"true";;"false";"false";
"60";"ElementInputs_UI";"Element inputs";;"net.nan21.dnet.module.hr.payroll.frame.ElementInputs_UI";"nan21.dnet.module.hr.ui.extjs";"true";;"false";"false";
"70";"ElementFormulas_UI";"Element formulas";;"net.nan21.dnet.module.hr.payroll.frame.ElementFormulas_UI";"nan21.dnet.module.hr.ui.extjs";"true";;"false";"false";
"20";"ProductAttributeDefs_UI";"Attributes definition";;"net.nan21.dnet.module.md.mm.prod.frame.ProductAttributeDefs_UI";"nan21.dnet.module.md.ui.extjs";"true";;"false";"false";
"20";"Product_UI";"Products";;"net.nan21.dnet.module.md.mm.prod.frame.Product_UI";"nan21.dnet.module.md.ui.extjs";"true";;"false";"false";
"20";"Reports_UI";"Reports";;"net.nan21.dnet.module.ad.report.frame.Reports_UI";"nan21.dnet.module.ad.ui.extjs";"true";;"false";"false";
"20";"WorkflowAdmin_UI";"Workflow admin console";;"net.nan21.dnet.module.ad.workflow.frame.WorkflowAdmin_UI";"nan21.dnet.module.ad.ui.extjs";"true";;"false";"false";
"20";"PurchaseOrder_UI";"Orders";;"net.nan21.dnet.module.sc.order.frame.PurchaseOrder_UI";"nan21.dnet.module.sc.ui.extjs";"true";;"false";"false";
"30";"PurchaseReception_UI";"Goods reception";;"net.nan21.dnet.module.sc.order.frame.PurchaseReception_UI";"nan21.dnet.module.sc.ui.extjs";"true";;"false";"false";
"20";"PurchaseInvoice_UI";"Invoices";;"net.nan21.dnet.module.sc.invoice.frame.PurchaseInvoice_UI";"nan21.dnet.module.sc.ui.extjs";"true";;"false";"false";
"20";"sc-menu-order";"Orders";"SC";;;"true";;"false";"false";
"20";"SysParam_UI";"System parameters";;"net.nan21.dnet.module.ad.system.frame.SysParam_UI";"nan21.dnet.module.ad.ui.extjs";"true";;"false";"false";
"20";"Employee_UI";"Employees";;"net.nan21.dnet.module.hr.employee.frame.Employee_UI";"nan21.dnet.module.hr.ui.extjs";"true";;"false";"false";
"20";"IssuesMnt_UI";"Issue maintenance";;"net.nan21.dnet.module.pj.md.frame.IssuesMnt_UI";"nan21.dnet.module.pj.ui.extjs";"true";;"false";"false";
"20";"DsAccessControl_UI";"Access rights - DS";;"net.nan21.dnet.module.ad.usr.frame.DsAccessControl_UI";"nan21.dnet.module.ad.ui.extjs";"true";;"false";"false";
"20";"bp-menu";"Business partners";"MD";;;"true";;"false";"false";
"20";"ExportMap_UI";"Export file-sets";;"net.nan21.dnet.module.ad.impex.frame.ExportMap_UI";"nan21.dnet.module.ad.ui.extjs";"true";;"false";"false";
"20";"hr-menu-grade";"Grades";"HR";;;"true";;"false";"false";
"20";"CountryMD_UI";"Country with details";;"net.nan21.dnet.module.bd.geo.frame.CountryMD_UI";"nan21.dnet.module.bd.ui.extjs";"true";;"false";"false";
"20";"bd-menu-currency";"Currencies";;;;"true";;"false";"false";
"20";"Uoms_UI";"Units of measure";;"net.nan21.dnet.module.bd.uom.frame.Uoms_UI";"nan21.dnet.module.bd.ui.extjs";"true";;"false";"false";
"20";"RatingScale_UI";"Rating scales";;"net.nan21.dnet.module.hr.skill.frame.RatingScale_UI";"nan21.dnet.module.hr.ui.extjs";"true";;"false";"false";
"20";"sd-menu-order";"Orders";"SD";;;"true";;"false";"false";
"20";"SalesOrder_UI";"Orders";;"net.nan21.dnet.module.sd.order.frame.SalesOrder_UI";"nan21.dnet.module.sd.ui.extjs";"true";;"false";"false";
"10";"PaymentIn_UI";"Payment In";;"net.nan21.dnet.module.sd.invoice.frame.PaymentIn_UI";"nan21.dnet.module.sd.ui.extjs";"true";;"false";"false";
"10";"PaymentOut_UI";"Payment Out";;"net.nan21.dnet.module.sc.invoice.frame.PaymentOut_UI";"nan21.dnet.module.sc.ui.extjs";"true";;"false";"false";
"30";"SalesDelivery_UI";"Goods delivery";;"net.nan21.dnet.module.sd.order.frame.SalesDelivery_UI";"nan21.dnet.module.sd.ui.extjs";"true";;"false";"false";
"20";"Grade_UI";"Grades";;"net.nan21.dnet.module.hr.grade.frame.Grade_UI";"nan21.dnet.module.hr.ui.extjs";"true";;"false";"false";
"20";"pj-menu-issues";"Incidents";"PJ";;;"true";;"false";"false";
"20";"Attachments_UI";"Attachments";;"net.nan21.dnet.module.ad.data.frame.Attachments_UI";"nan21.dnet.module.ad.ui.extjs";"true";;"false";"false";
"20";"mm-menu-md";"Master-data";;;;"true";;"false";"false";
"30";"ProductAccountGroup_UI";"Product account groups";;"net.nan21.dnet.module.md.mm.prod.frame.ProductAccountGroup_UI";"nan21.dnet.module.md.ui.extjs";"true";;"false";"false";
"30";"mm-menu";"Material management";"MD";;;"true";;"false";"false";
"30";"pj-menu-projects";"Projects";"PJ";;;"true";;"false";"false";
"30";"ExportJob_UI";"Export jobs";;"net.nan21.dnet.module.ad.impex.frame.ExportJob_UI";"nan21.dnet.module.ad.ui.extjs";"true";;"false";"false";
"30";"WorkflowTodo_UI";"Tasks";;"net.nan21.dnet.module.ad.workflow.frame.WorkflowTodo_UI";"nan21.dnet.module.ad.ui.extjs";"true";;"false";"false";
"30";"PayScaleRate_UI";"Pay scale rates";;"net.nan21.dnet.module.hr.grade.frame.PayScaleRate_UI";"nan21.dnet.module.hr.ui.extjs";"true";;"false";"false";
"30";"ProductAttributeValue_UI";"Product atributes";;"net.nan21.dnet.module.md.mm.prod.frame.ProductAttributeValue_UI";"nan21.dnet.module.md.ui.extjs";"true";;"false";"false";
"30";"IssueRoadmap_UI";"Roadmap";;"net.nan21.dnet.module.pj.md.frame.IssueRoadmap_UI";"nan21.dnet.module.pj.ui.extjs";"true";;"false";"false";
"30";"Position_UI";"Positions";;"net.nan21.dnet.module.hr.job.frame.Position_UI";"nan21.dnet.module.hr.ui.extjs";"true";;"false";"false";
"30";"UserTypes_UI";"User types";;"net.nan21.dnet.module.ad.usr.frame.UserTypes_UI";"nan21.dnet.module.ad.ui.extjs";"true";;"false";"false";
"30";"AsgnAccessControl_UI";"Access rights - ASGN";;"net.nan21.dnet.module.ad.usr.frame.AsgnAccessControl_UI";"nan21.dnet.module.ad.ui.extjs";"true";;"false";"false";
"30";"BpAccount_UI";"Business partner accounts";;"net.nan21.dnet.module.md.bp.frame.BpAccount_UI";"nan21.dnet.module.md.ui.extjs";"true";;"false";"false";
"30";"sc-menu-invoice";"Invoices";"SC";;;"true";;"false";"false";
"70";"InvOperations_UI";"Movements overview";;"net.nan21.dnet.module.md.tx.inventory.frame.InvOperations_UI";"nan21.dnet.module.md.ui.extjs";"true";;"false";"false";
"30";"bd-menu-geo";"Geography";;;;"true";;"false";"false";
"30";"SysDateFormat_UI";"Date formats";;"net.nan21.dnet.module.ad.system.frame.SysDateFormat_UI";"nan21.dnet.module.ad.ui.extjs";"true";;"false";"false";
"30";"Payroll_UI";"Payroll";;"net.nan21.dnet.module.hr.payroll.frame.Payroll_UI";"nan21.dnet.module.hr.ui.extjs";"true";;"false";"false";
"30";"SkillType_UI";"Competence types";;"net.nan21.dnet.module.hr.skill.frame.SkillType_UI";"nan21.dnet.module.hr.ui.extjs";"true";;"false";"false";
"30";"Regions_UI";"Regions";;"net.nan21.dnet.module.bd.geo.frame.Regions_UI";"nan21.dnet.module.bd.ui.extjs";"true";;"false";"false";
"30";"UomMD_UI";"Unit of measure with details";;"net.nan21.dnet.module.bd.uom.frame.UomMD_UI";"nan21.dnet.module.bd.ui.extjs";"true";;"false";"false";
"30";"mm-menu-inventory";"Inventory";;;;"true";;"false";"false";
"30";"IssueTask_UI";"Tasks";;"net.nan21.dnet.module.pj.md.frame.IssueTask_UI";"nan21.dnet.module.pj.ui.extjs";"true";;"false";"false";
"30";"ad-menu-security";"Security";"AD";;;"true";;"false";"false";
"30";"hr-menu-job";"Jobs";"HR";;;"true";;"false";"false";
"30";"CurrencyXRates_UI";"Currency exchange rates";;"net.nan21.dnet.module.bd.currency.frame.CurrencyXRates_UI";"nan21.dnet.module.bd.ui.extjs";"true";;"false";"false";
"30";"ImportJob_UI";"Impport jobs";;"net.nan21.dnet.module.ad.impex.frame.ImportJob_UI";"nan21.dnet.module.ad.ui.extjs";"true";;"false";"false";
"30";"sd-menu-invoice";"Invoices";"SD";;;"true";;"false";"false";
"40";"sd-menu-pay";"Payments";"SD";;;"true";;"false";"false";
"40";"sc-menu-pay";"Payments";"SC";;;"true";;"false";"false";
"40";"ad-menu-data";"Data";"AD";;;"true";;"false";"false";
"30";"InvTxTypes_UI";"Transaction types";;"net.nan21.dnet.module.md.tx.inventory.frame.InvTxTypes_UI";"nan21.dnet.module.md.ui.extjs";"true";;"false";"false";
"40";"hr-menu-employee";"Employees";"HR";;;"true";;"false";"false";
"40";"DsMethodAccessControl_UI";"Access rights - DS method";;"net.nan21.dnet.module.ad.usr.frame.DsMethodAccessControl_UI";"nan21.dnet.module.ad.ui.extjs";"true";;"false";"false";
"40";"Role_UI";"Roles";;"net.nan21.dnet.module.ad.usr.frame.Role_UI";"nan21.dnet.module.ad.ui.extjs";"true";;"false";"false";
"40";"mm-menu-price";"Price";;;;"true";;"false";"false";
"40";"IssueChangelog_UI";"Changelog";;"net.nan21.dnet.module.pj.md.frame.IssueChangelog_UI";"nan21.dnet.module.pj.ui.extjs";"true";;"false";"false";
"40";"PayScale_UI";"Pay scales";;"net.nan21.dnet.module.hr.grade.frame.PayScale_UI";"nan21.dnet.module.hr.ui.extjs";"true";;"false";"false";
"40";"bd-menu-org";"Organizations";;;;"true";;"false";"false";
"40";"UomConversion_UI";"Unit of measure conversions";;"net.nan21.dnet.module.bd.uom.frame.UomConversion_UI";"nan21.dnet.module.bd.ui.extjs";"true";;"false";"false";
"40";"RegionMD_UI";"Region with details";;"net.nan21.dnet.module.bd.geo.frame.RegionMD_UI";"nan21.dnet.module.bd.ui.extjs";"true";;"false";"false";
"40";"Menu_UI";"Menus";;"net.nan21.dnet.module.ad.usr.frame.Menu_UI";"nan21.dnet.module.ad.ui.extjs";"true";;"false";"false";
"40";"Skill_UI";"Competences";;"net.nan21.dnet.module.hr.skill.frame.Skill_UI";"nan21.dnet.module.hr.ui.extjs";"true";;"false";"false";
"50";"UiViewState_UI";"View states";;"net.nan21.dnet.module.ad.system.frame.UiViewState_UI";"nan21.dnet.module.ad.ui.extjs";"true";;"false";"false";
"50";"ad-menu-impex";"Import-Export";"AD";;;"true";;"false";"false";
"50";"bd-menu-stds";"Standards";;;;"true";;"false";"false";
"50";"SysFrameExtension_UI";"Frame extensions";;"net.nan21.dnet.module.ad.system.frame.SysFrameExtension_UI";"nan21.dnet.module.ad.ui.extjs";"true";;"false";"false";
"50";"hr-menu-payroll";"Payroll";"HR";;;"true";;"false";"false";
"5";"hr-menu-payroll-setup";"Setup";;;;"true";;"false";"false";
"50";"Assignables_UI";"Assignable resources";;"net.nan21.dnet.module.ad.usr.frame.Assignables_UI";"nan21.dnet.module.ad.ui.extjs";"true";;"false";"false";
"60";"hr-menu-training";"Training";"HR";;;"true";;"false";"false";
"60";"ad-menu-wf";"Workflow";"AD";;;"true";;"false";"false";
"70";"hr-menu-time";"Time management";"HR";;;"true";;"false";"false";
"70";"AuditFieldRep_UI";"Audit trails";;"net.nan21.dnet.module.ad.system.frame.AuditFieldRep_UI";"nan21.dnet.module.ad.ui.extjs";"true";;"false";"false";
"70";"ad-menu-rep";"Reports";"AD";;;"true";;"false";"false";
;"MyCalendarEvent_UI";"Calendar events";;"net.nan21.dnet.module.md.activity.frame.MyCalendarEvent_UI";"nan21.dnet.module.md.ui.extjs";"true";;"false";"false";
;"bp-menu-base";"Base-data";;;;"true";;"false";"false";
;"bp-menu-md";"Master-data";;;;"true";;"false";"false";
